Metric,Baseline,Optimized,Absolute_Improvement,Percentage_Improvement
MAE,0.32299194166666667,0.3142439239073292,0.008748017759337479,2.7084322024249095
MSE,0.3108096800097222,0.28610437753780915,0.02470530247191305,7.948691453606034
RMSE,0.5575030762334161,0.534887256847468,0.022615819385948144,4.056626833118913
R2,0.9626527205794836,0.9656213405869365,0.0029686200074529046,0.3083791219813827
MAPE,15.293760951734242,14.889211671758403,0.4045492799758392,2.6451915997154725
EVS,0.9626541500595559,0.965622214313352,0.0029680642537961432,0.30832093266439664
Max_Error,6.620000000000001,7.364661309396027,-0.7446613093960259,-11.248660262779845
Median_AE,0.15999999999999992,0.15556685578937246,0.00443314421062746,2.770715131642164
CV_RMSE,,0.5358439462043904,,
CV_MAE,,0.31456975631174466,,
CV_R2,,0.9656158934934027,,
P90_Error,0.8499999999999996,0.8156414699870279,0.03435853001297173,4.042180001526088
P95_Error,1.0600000000000005,1.0329442840844112,0.027055715915589307,2.552426029772575
P99_Error,2.05,1.98830860395038,0.06169139604961993,3.009336392664387
Train_RMSE,0.20886508541866075,0.4896044597164066,-0.28073937429774587,-134.41182557391835
Overfitting_Ratio,0.37464382587767614,0.9153414171839683,-0.5406975913062921,-144.3231020929286
Residual_Mean,-0.0034491083333333334,-0.0026965316099014894,-0.000752576723431844,-21.81945739884977
Residual_Std,0.5575063446523668,0.534893832293547,0.02261251235881978,4.056009868895719
Prediction_Time,0.2865614891052246,0.19051647186279297,0.09604501724243164,33.51637288818113
