loss,mae,val_loss,val_mae,learning_rate
0.2684682309627533,0.29897579550743103,0.0818101093173027,0.17483925819396973,0.0010000000474974513
0.12303798645734787,0.21221943199634552,0.12555931508541107,0.19200599193572998,0.0010000000474974513
0.10844383388757706,0.19168515503406525,0.06897421181201935,0.15386740863323212,0.0010000000474974513
0.09531880170106888,0.17765012383460999,0.07502451539039612,0.15880639851093292,0.0010000000474974513
0.0936887338757515,0.1720978170633316,0.0634382963180542,0.14402751624584198,0.0010000000474974513
0.0892084613442421,0.165545254945755,0.059313397854566574,0.15043553709983826,0.0010000000474974513
0.08743718266487122,0.1615431010723114,0.06133754923939705,0.1602937877178192,0.0010000000474974513
0.08453257381916046,0.15778690576553345,0.059008900076150894,0.14986135065555573,0.0010000000474974513
0.08480676263570786,0.15632595121860504,0.060540929436683655,0.16165897250175476,0.0010000000474974513
0.08299127966165543,0.15407773852348328,0.06223950907588005,0.1705753654241562,0.0010000000474974513
0.08320169895887375,0.15330760180950165,0.06428046524524689,0.1723303198814392,0.0010000000474974513
0.07935143262147903,0.15161164104938507,0.06605452299118042,0.17169873416423798,0.0010000000474974513
0.08021978288888931,0.15052853524684906,0.08684255927801132,0.17429542541503906,0.0010000000474974513
0.07800757139921188,0.14853042364120483,0.06492780894041061,0.16901884973049164,0.0010000000474974513
0.08035053312778473,0.14909538626670837,0.08338732272386551,0.17252770066261292,0.0010000000474974513
0.0779554545879364,0.14777517318725586,0.061220042407512665,0.1739189773797989,0.0010000000474974513
0.07778067141771317,0.14708958566188812,0.05768268182873726,0.14966396987438202,0.0010000000474974513
0.07688136398792267,0.14587348699569702,0.06357303261756897,0.1732533723115921,0.0010000000474974513
0.07797545939683914,0.1471451073884964,0.12739594280719757,0.2097792625427246,0.0010000000474974513
0.07662961632013321,0.14578771591186523,0.060741253197193146,0.16237732768058777,0.0010000000474974513
0.07816694676876068,0.14582045376300812,0.06381736695766449,0.1795591413974762,0.0010000000474974513
0.0754287987947464,0.14207494258880615,0.06101023033261299,0.16159600019454956,0.0010000000474974513
0.07589337229728699,0.1441744863986969,0.06869301199913025,0.164842426776886,0.0010000000474974513
0.07486965507268906,0.1433166265487671,0.060771092772483826,0.1575864851474762,0.0010000000474974513
0.07385499775409698,0.141837939620018,0.09454291313886642,0.18554243445396423,0.0010000000474974513
0.07579731196165085,0.14320151507854462,0.09279204905033112,0.18935003876686096,0.0010000000474974513
0.07449952512979507,0.14244236052036285,0.0641607791185379,0.1592361181974411,0.0010000000474974513
0.06802671402692795,0.13603425025939941,0.07505028694868088,0.17650651931762695,0.0005000000237487257
0.06691630184650421,0.1346951574087143,0.060885507613420486,0.1722971349954605,0.0005000000237487257
0.06806673109531403,0.13511046767234802,0.074297234416008,0.16821704804897308,0.0005000000237487257
0.0679444670677185,0.13541585206985474,0.065479576587677,0.16526392102241516,0.0005000000237487257
0.06820116192102432,0.13566990196704865,0.058208487927913666,0.15755502879619598,0.0005000000237487257
0.06701101362705231,0.13426731526851654,0.0592137910425663,0.15989108383655548,0.0005000000237487257
0.06741607934236526,0.1341305673122406,0.06421788036823273,0.16794127225875854,0.0005000000237487257
0.06707734614610672,0.13385239243507385,0.05810197815299034,0.15723152458667755,0.0005000000237487257
0.06756439805030823,0.13429448008537292,0.05920446291565895,0.16826774179935455,0.0005000000237487257
0.0668790191411972,0.13475468754768372,0.06209186464548111,0.17143969237804413,0.0005000000237487257
