loss,mae,val_loss,val_mae,learning_rate
0.1688847690820694,0.22772595286369324,0.07138803601264954,0.17370088398456573,0.0005450677708722651
0.0934535413980484,0.1769496649503708,0.09048013389110565,0.17179492115974426,0.0005450677708722651
0.08280997723340988,0.16396953165531158,0.05972553417086601,0.14042526483535767,0.0005450677708722651
0.08521975576877594,0.16165666282176971,0.07365341484546661,0.15321744978427887,0.0005450677708722651
0.07821336388587952,0.15278445184230804,0.059704702347517014,0.1322522610425949,0.0005450677708722651
0.07826656103134155,0.15054653584957123,0.07268906384706497,0.15531086921691895,0.0005450677708722651
0.07829166948795319,0.14967340230941772,0.0800447016954422,0.15215083956718445,0.0005450677708722651
0.07320313900709152,0.14425909519195557,0.0560954250395298,0.12783358991146088,0.0005450677708722651
0.0732298344373703,0.1430816948413849,0.07079163193702698,0.14394864439964294,0.0005450677708722651
0.07243834435939789,0.1413368433713913,0.08772184699773788,0.15273113548755646,0.0005450677708722651
0.0710671916604042,0.140367329120636,0.06877118349075317,0.1394830048084259,0.0005450677708722651
0.07063913345336914,0.13863840699195862,0.056386712938547134,0.1199137270450592,0.0005450677708722651
0.07142223417758942,0.1378692388534546,0.06291692703962326,0.13183656334877014,0.0005450677708722651
0.07105471193790436,0.13769696652889252,0.05635048821568489,0.13224337995052338,0.0005450677708722651
0.07184901833534241,0.13771529495716095,0.059165772050619125,0.13690274953842163,0.0005450677708722651
0.069551020860672,0.136564701795578,0.06552200019359589,0.1351395547389984,0.0005450677708722651
0.06875345855951309,0.13512952625751495,0.07418235391378403,0.14542962610721588,0.0005450677708722651
0.06980551034212112,0.13483630120754242,0.07278427481651306,0.14064764976501465,0.0005450677708722651
0.0624181367456913,0.12759147584438324,0.0673324391245842,0.13956311345100403,0.00027253388543613255
0.06178560107946396,0.12674596905708313,0.05521019920706749,0.1334259808063507,0.00027253388543613255
0.06188676878809929,0.12682569026947021,0.05687485635280609,0.13287660479545593,0.00027253388543613255
0.06188717857003212,0.12640880048274994,0.05954714119434357,0.13037429749965668,0.00027253388543613255
0.0618336983025074,0.1259191334247589,0.06172606348991394,0.13782116770744324,0.00027253388543613255
0.060634080320596695,0.12550611793994904,0.05377577245235443,0.13181793689727783,0.00027253388543613255
0.06014646962285042,0.12480104714632034,0.05365833267569542,0.12708887457847595,0.00027253388543613255
