horizon_minutes,samples,rmse,r2,mape,accuracy
1,1117,0.35193324,0.0,29.499858617782593,70.50014138221741
3,426,0.5526525,-1.1872332096099854,15.465281903743744,84.53471809625626
5,70,0.48747313,-1045108031488.0,7.141919434070587,92.85808056592941
15,750,0.6187327,0.7293479442596436,14.686265587806702,85.3137344121933
30,750,0.6187327,0.7293479442596436,14.686265587806702,85.3137344121933
60,750,0.6187327,0.7293479442596436,14.686265587806702,85.3137344121933
