time_window,samples,rmse,r2,mape,accuracy
0-2 min,3953,0.25707686969447324,0.74839994096047,27.847794030744787,72.15220596925522
2-5 min,875,0.49776506032287227,0.49174065744539175,12.671426175441672,87.32857382455833
5-15 min,80,0.928681778984272,-2.441824573035953,13.311738728427045,86.68826127157296
15-30 min,1000,0.5395070055658957,0.69210111580054,12.808471552564912,87.19152844743509
30-60 min,1000,0.5395070055658957,0.69210111580054,12.808471552564912,87.19152844743509
60-120 min,1000,0.5395070055658957,0.69210111580054,12.808471552564912,87.19152844743509
