feature,importance,std
current_speed,1.3864354610443115,0.012956668106538878
distance_to_next_stop,0.219454824924469,0.009455282499140197
is_peak_hour,0.03533259034156799,0.0010616361508580898
current_lat,0.03409672975540161,0.0006537998152896554
current_stop_name,0.02300441265106201,0.000578076696895186
current_lon,0.02070286273956299,0.0005449891327679964
is_holiday,0.008559513092041015,0.0008944723497210594
next_stop_name,0.007180511951446533,0.00013533586824798554
passenger_count,0.0015121400356292725,0.00016994036897754555
day_of_week,0.0007850348949432373,0.00014764966610748657
weather_condition,0.0001181483268737793,3.9301323124923935e-05
