Metric,Baseline,Optimized,Improvement,Improvement_Pct,Better
MAE,0.3453863055864349,0.341874367775023,0.0035119378114119026,1.0168144349119308,True
MSE,0.30926349639598855,0.29318496199105154,0.016078534404937006,5.198975822335545,True
RMSE,0.5561146432130596,0.541465568610832,0.01464907460222764,2.6341824983405915,True
MAPE,17.522315253391252,16.464315032983237,1.0580002204080152,6.0380161246285695,True
SMAPE,57.01149947151251,56.30485801489527,-0.7066414566172412,-1.2394717963352913,False
R2,0.9628385119340377,0.9647705287138072,0.0019320167797695076,0.20065844436246094,True
EVS,0.9628416782391842,0.9647875635147901,0.0019458852756059075,0.20209815586343166,True
MedianError,0.21714264154434204,0.2000691294670105,0.017073512077331543,7.862809421448902,True
MaxError,9.912302017211914,8.717912673950195,1.1943893432617188,12.049565693092864,True
P90Error,0.7825431942939766,0.7916603565216067,-0.009117162227630149,-1.1650682408471784,False
P95Error,1.0609893321990966,1.0291865229606627,0.03180280923843393,2.997467389470988,True
P99Error,2.0816046047210603,1.9923006343841496,0.08930397033691073,4.290150499012643,True
Within1Min,94.41000000000001,94.595,0.18499999999998806,0.19595381845142257,True
Within2Min,98.885,99.015,0.12999999999999545,0.13146584416240628,True
Within5Min,99.97500000000001,99.985,0.009999999999990905,0.01000250062514719,True
